,Transliteration,Translation
822,M.n pw xfa HD.t tpi Sb.t wAD.t ,"Merenre is one who grasps the white crown, first one of the curl of the green crown."
823, ms P. pn in it=f tm ,And Pepi was born by his father Atum.
824,nhi P. pn hrw Xr(i) mwt mr nh.t stS hrw=f Xr(i) mwt ,Pepi will escape the day of death just as Seth escaped his day of death.
825,Di.n=f niw.w(t) gbb n P. pn,He has given the cities of Geb to Pepi.
826, Di=f n=k niw.w(t) gbb ,With him giving you the cities of Geb.
827, in n P. pn nTr.w ir(i)w p.t,The gods who are in the sky are brought to Pepi.
828,in smA.n=sn Tw ,Have they slain you?
829, Sd n=k P. pn Hna=k n anx xr mw.t=k nw.t,"Take Pepi out with you to the living one, to your mother Nut!"
830,i.wn.t(i) n P. pn aA.wi p.t,With the doors of the sky being opened to Pepi.
831, Di w(i) imi- rd(=i) im=f ,My obstructor giving me up from him.
832, Di sw imi- rd=f im ,His obstructor giving him up therefrom.
833, in ir.n=Tn ir=f,Have you acted against him?
834,[iw.n Ne.] xr=k m iwa gbb,"To you [has Neferkare come,] as the heir of Geb."
835, inn w(i) inn w(i),Turn me! Turn me!
836,inn P. inn P. ,Turn Pepi! Turn Pepi!
837,Dd.w tm n=k tm,"Atum will say, ‘Let all be yours!'"
838,aHa=sn Hr-gs P. pn ir tA ,While they stand beside Pepi on the earth.
839,Sw a n(i) P. ir p.t ,The hand of Pepi is risen to the sky.
840, pry=f r=f Swy=f r=f ir p.t ,Let him thus ascend; let him thus rise to the sky.
841, im(i)=k zy m tA.w ipw iAb.tiw ,May you not go in these eastern lands.
842, wsir ,O Osiris.
843,wsir M. pn,O Osiris Merire.
844, DA Ne. mr-nxA(i),May Neferkare cross the shifting waterway.
845, Hw.n=k it(=i) ,You have smitten my father.
846, Hw.n(=i) n=k Hw Tw m iH ,As a bull have I smitten for you the one who smote you.
847, DA=k mr-nxA(i),may you cross the shifting waterway.
848, in TpH=k pw nw wsx.t wsir [in] TAw ,"This is your naos, the broad hall, O Osiris, that which [brings] breath."
849, 3rd at §1552c (N): /// . . . /// [Ne.1116] m inpw /// . . . /// ,[May Neferkare] /// . . . /// as Anubis /// . . . ///.
850, in TpH.t=k tw nw wsx.t wsir P. pn in.t TAw,"This is your naos, the broad hall, O Osiris Pepi, that which brings breath."
851, i.n M. xr=k ,To you has Merire come.
852,pXr Tw mAA P. pn ,Turn your self around and see Pepi.
853, psD Nt. m ra ,Let Neith be bright as Re.
854, Nt. pw sHd ir p.t m-m nTr.w ,Neith is a star at the sky among the gods.
855,rDi=k a ir Nt. ,While you put a hand on Neith.
856,pr Nt. Hr=s r p.t ,That Neith ascend upon it to the sky.
857, Ne. p(w) Hr DbA ir.t=f m a.wy=f (i) tm.wy ,"Horus is Neferkare, the one who adorned his Eye with both his hands."
858,ir=T n M. x.t nb(.t) mr[.t ib n(i)] M. pn ,May you do for Merire everything which is desired [of the heart of ] Merire.
859, pSS.n s(i) mw.t=k nw.t Hr=k m rn=s n(i) S.t-p.t ,"Your mother Nut has spread herself over you, in her name of ‘Shetpet.'"
860,Twt kA n(i) nTr.w nb(.w),You are the Ka of all the gods.
861, m-kw nD.ti anx.ti,Behold: you are saved and alive.
862, siA.n Tw kA=k r xft(i)w=k ,From your enemies has your Ka discerned you.
863, wsir M.n pw nn,This one is Osiris Merenre.
864,im(i) n=k [a=k] n Hr,Give [your hand] to Horus!
865,pr.n=k ir r(w).t ,You have ascended at the door.
866, pr.n Ne. ir r(w).t ,Neferkare has ascended at the door.
867,i.nD-Hr=k M.n ,"Hail to you, Merenre!"
868, i.rs Tz Tw ,Awaken! Raise yourself !
869, m(y) wnx=k n=k ir(.t) Hr (w)DA.t imit tAi.t,Come and don the whole Eye of Horus which is Tait!
870,im(i) n=k n=f s(i),Give it to him!
871, Ne. pw gbb ,Geb is Neferkare.
872, d n=k a.wi=k(i) HA M.n HA kA.t tn HA mr pn m a.wi kA ,"Put your arms around Merenre, this construction, this pyramid, as the arms of a Ka!"
873, rDi Tn rwD Ne. ,Cause that Neferkare be enduring!
874,Di=k HAby M.n m HAb n(i) Hr,May you give the ceremony of Merenre as the ceremony of Horus.
875, wp=Tn n M.n rA=f,And open for Merenre his mouth.
876, Tz Tw ,Raise yourself !
877, DA.n=f mr nm.n=f dA.t ,He has crossed the lake: he has traversed the netherworld.
878, Tz Tw ,Raise yourself !
879, i.n(=i) in(=i) n=k wAD.w ,"I have come, even bringing you green eye-paint."
880, d(=i) Tw n it(=i) Ne. ,Let me give you to my father Neferkare.
881, [sxpr=s]n Tw mr [ra ],[Let th]em [make] you [come to be] like [Re].
882, sxpr=sn M.n. pn mr ra ,Let them make Merenre come to be like Re.
883, [wdn.]n[=f ] Tw i[t]=i Hr ns.t ra-tm ,"[With him] having [installed] you, O my fa[ther], upon the throne of Re-Atum."
884,n ink is Hr nD it=f ,For I am Horus savior of his father.
885,n Ne. is pw Hr ///,For Neferkare is Horus ///.
886, wdn<.n>=f Tw it(=i) wsir P. Hr ns.t ra-tm ,"With him <having> installed you, O my father Osiris Pepi, upon the throne of Re-Atum."
887, ms.n nw M.n Hr Dr.t=f iAb.(i)t nxn ny sAA.t M.n ,"Nu bore Merenre upon his left hand, even with him being young, the knowledge of Merenre not existing."
888,aHa n it=k wr ,"Arise for your father, the great one!"
889,d zxn.wi p.t n M.n pn,The two reed-boats of the sky are given to Merenre.
890, msTw=k nTr dwA,Your offspring is the morning god.
891, msTw Ne. [nTr dwA] ,The offspring of Neferkare [is the morning god].
892, in m(y) n(=i) fd ipw iA.tiw Hms.w Hr Dam=sn prr.iw m gs iAb(.ti) n(i) p.t ,"Bring to me these four of the mounds, who sit upon their staves, who ascend in the eastern side of the sky."
893, [wTz]=sn i.w n(i) Ne. pn nfr n nH[b-kA.w] ,Let them [raise up] this good speech of Neferkare to Neh[ebkau].
894, it(=i) M.n.,O my father Merenre.
895, nis ra ir=k m izkn n(i) p.t ,Even as Re summoned you from the Yezeken of the sky.
896, nis ra ir=k Ne. m izkn n(i) p.t,"Even as Re summoned you, O Neferkare, from the Yezeken of the sky."
897, anx anx.ti it(=i) m rn=k pw xr (i) nTr.w ,"Live! Live, O my father, in your name of ‘one who is with the gods!'"
898, DHw.ti pi it(=i) M.n (i)m(i)-ab=Tn,"Thoth is my father Merenre, the one who is among you."
899,wn n=k n Ne. z ,"For you, for Neferkare, is the bolt opened."
900, aHa Tz Tw ,Arise! Raise yourself !
901,in [mXn.t] tw n P.,And bring this [ferryboat] to Pepi!
902, /// [aHa]=k r=k ir arw.t Hw.t bA,May you [stand] at the gate of the house of the Ba.
903,M.n pw ir (i) zA i.tm,The son of Atum is thus Merenre.
904, in nw n M.n ,Bring this to Merenre!
905, Htp-Di-ni-sw.t m s.wt=k nb(.wt) Htp-Di-ni-sw.t m saH.w=k nb(.w) ,An offering which the king gives in all your offices; an offering which the king gives in all your titles.
906, Tz Tw ,Raise yourself !
907, ink Hr ,I am Horus.
908, (i)m sT ir.t Hr ir=k ,Take the scent of the eye of Horus to yourself !
909,DbA.n(=i) kw m ir.t Hr rnn-wt.(i)t itn nr.t.n n=s nTr.w,"I have adorned you with the eye of Horus, this garment of which the gods are terrified."
910, m-n=k ir.t Hr ir.t.n(=i) ,Take the eye of Horus which I made!
911,pr.n Nt. Hr Sw ,Neith has ascended upon Shu.
912,hA.n=i Hr hpw.ti ,I have descended on the Heputi-pole.
913,hA.n Ne. Hr hpw.ti ,Neferkare has descended on the Heputi-pole.
914,Hw.t=i im m-m nb.w rn[.w],My house being there among the possessors of name[s].
915,Hw.t n(i)t Ne. im m-m nb.w rn.w,The house of Neferkare being there among the possessors of names.
916, pr.n P. [m wr] ,Pepi has ascended [as a great one].
917,tAS=i nb.w<t> ,My boundary is the islands.
918,tAS=f nb.wt ,His boundary is the islands.
919, Ne. pw Ax apr dbH xpr ,"Neferkare is an equipped Akh, who seeks metamorphose."
920, Ne. pw bik aA Hr znb.w Hw.t imn rn ,Neferkare is a great falcon upon the walls of the house of hidden of name.
921,Hw kw Ne. inn k(w) Ne.,"Oh, you Neferkare! Turn about, O Neferkare!"
922,iw.n=i i.Ha.k(i) n mr.wt=k,"I have come, even while rejoicing because of love of you."
923, nn aAa im=k ,The watercourse is still in you.
924, iab.n(=i) sn(=i) ,I have united my brother.
925, iAb.w(i) sT=k ,How pungent is your smell!
926, Tmt HA.t Hr=f ,You are the one who mourns over him.
927,in.n(=i) n=t ir.t Hr,To you have I brought the eye of Horus.
928,in(.n=i) n=k ir(.t) Hr imit tAi.t rn(n)-w[t].(i)t [tn nr.t.n n=s nTr.w] ,"To you I have brought the eye of Horus which is Tait, [this] cloth [of which the gods are terrified]."
929, d.n n=k Hr ir.t=f m HA.t=k m rn[=s n(i) wr.t-HkA.w],"For you has Horus put his eye on your brow, in [its] name [of great of magic]."
930, im(i) n(=i) a=k ,Give me your hand!
931, iw.n(=i) xr=k Dd-T i.mH(=i) Tw m mD.t pr.t m ir.t Hr,"I also have come to you, even that I fill you with the oil which went forth from the eye of Horus."
932, Tz.n n=k nTr.w Hr=k ,The gods have knit your face together for you.
933, wp Hr=k m wpS ,Let your sight be opened by the illumination!
934, zA=k pw wsir Ne. pn,Your son is Osiris Neferkare.
935, iw.n(=i) Reference: 2nd at §1813b mdw(=i) Hr-tp=k ink zA=k ,"I have come in order that I may speak on your behalf, for I am your son."
936, Sn=k n=k x.t nb(.t) m Xnw-a.wy=k(i) ,May you enclose everything in your embrace.
937,aHa kA=k m-m [nTr.w] ,Let your Ka stand among [the gods].
938,izA Tn Xr [Ne.] ,Set out bearing [Neferkare]!
939, Xnm=f Tw [sxm.t(i) m] Sma m Hr pn sxm=k [im=f ],"Let him join you, [you being powerful in] the south as this Horus, [through whom] you are powerful."
940, Twt nTr sxm wa.t(i),"You are a god, the sole power."
941, rDi.n Hr wr HkA.w=k m rn=k n(i) wr-HkA.w ,"Horus has caused that your magic be great, even in your name of great of magic."
942, Htm=k im=f,You being provided as him.
943, rDi.n n=k Hr ms.w<=f> ,To you has Horus given <his> children.
944,Twt kA n(i) nTr.w ,You are the Ka of the gods.
945,wsir pw Ne. pn ms.n [nw.t],"Neferkare is Osiris, one whom [Nut] bore."
946, wsir Ne. ,O Osiris Neferkare.
947,m-n=k ir(.t) Hr nHm.t.n(=i) m-a stS,Take the eye of Horus which I saved from Seth!
948, m-n=k ir(.t) Hr ,Take the eye of Horus!
949, hA Ne. ,O Neferkare.
950, Sw.t n( it) Ne. [m] ipd ,The plumage of Neferkare [is] that of a bird.
951, zkr Ne. zkr.t ir=Tn,Let Neferkare truly go to you.
952, sDA.n Tw nTr.w i.mr=sn Tw ,The gods make you well as they love you.
953, m(i) sw i ,Behold: he is come.
954, hA n=k zAb Sma is inp is Hr(i) mniw ,"Return as the jackal of Upper Egypt, as Anubis master of the herdsman's tent!"
955, aHa Ne. r=f m itr.ti Ax.t,May Neferkare thus stand at the two chapel rows of the horizon.
956,[aHa]=k r=k m itr.ti Ax.t ,May you [stand] at the two chapel rows of the horizon.
957,sDm=k mdw<=f > ra nTr is ,"May you hear <his> words, O Re, (he) being a god."
958, Sw zA tm pw wsir Ne. pn ,Osiris Neferkare is Shu the son of Atum.
959,Twt zA wr n(i) tm wtw.t(i)=f ,"You are the eldest son of Atum, his oldest."
960, m-n=k mw=k ipn bzA.w imiw mnD.wi mw.t=k As.t ,"Take this your water, the milk which is in the breasts of your mother Isis!"
961, iw Ne. ir=k ,Neferkare is bound for you.
962,1122 [i]w=i r=k,I am bound for you.
963, iw Hw [n ms]w.t {=i} ibi ,The abundance-god belongs to {my} [the dinner] of Ibi.
964, it(=i) Ne. ,O my father Neferkare.
965, iw t=k xr(=i) ra nb,Your bread is from me every day.
966,rDi(=i) n=k ib=k n(i) D.t=k,And I give you your own heart.
967,iw.n(=i) <Hr>- ib tA [n] m bw Xr(i)=k im,"I have come even in the middle of [th]is land, into the place where you are."
968,Hr xw m Xnw- a.(w)y=k(i) ,Horus who protects is within your embrace.
969, m gA /// . . . ///,Do not lack!
970,i.sk(=i) rA n(i) wsir Ne. /// ,Let me dry the mouth of Osiris Neferkare ///.
971,rs rs,Awaken! Awaken!
972, Tz <T>w ,Raise yourself !
973,anx anx anx.t(i) anx.t(i) m rn=k pw xr(i) nTr.w ,"Live! Live! Live! Live, in your name of ‘one who is with the gods!'"
974,DHw.ti pw Nt. pn,Neith is Thoth.
975, abA=k biA(.i) m Dr.t=k ,Your metal staff being in your hand.
976, inq n=k qs.w=k,Draw together your bones!
977, m k(w) nw ir.n(=i) n=k,See this which I did for you!
978,t=k s{T}<r>f xr Nt. pw ra nb,Your warm bread is with Neith every day.
979, im(i)=sn nDr.w a=k ir pr bA pf ,Let them not take your hand to that house of that Ba.
980,Szp n=k tp=k ,Receive your head!
981, StA sw ,He is secret.
982,n mwt.n=k is mwt.t,You cannot truly die.
983, wab Nt. pw m-a x.t nb(.t) Dw.t ir(i)t=f ,Let Neith be purified from everything evil pertaining to <her>.
984, i.(n)D-Hr=k Nt. pw St{pa}A s.wt,"Hail to you, O Neith, one hidden of places!"
985,Tz Tw,Raise yourself !
986, Htm Tw m nTr ,Provide yourself as a god!
987, iw Ne. r gs iAb.t(i) n(i) nw.t ,Neferkare is bound for the eastern side of Nut.
988, n nt(i)t Ne. is pw sn pr m sbq,For Neferkare is a brother who would go forth from the shin.
989, i.pA Ne. xny Ne. Hr Sw.ti it=f gbb ,And then Neferkare will fly up and Neferkare will alight upon the wings of his father Geb.
990, mdw wsir n Hr fd.n=f Dw.t [ir(it) Ne. m1124] fd-nw=f hrw ,"Let Osiris speak to Horus, for he has removed the evil [which pertains to Neferkare in] his fourth day."
991,aHa mA=k ir.t.n n=k zA=k ,"Arise, and see what your son has done for you!"
992, iw=sn n wsir Ne. Hr xrw rmm As.t Hr sbH nb.t-Hw.t ,"They come to Osiris Neferkare,1125 upon the sound of the weeping of Isis, upon the wailing of Nephthys."
993,Twt zA wr,You are the son of the great one.
994,z.n=k Ne. sd.ti ,"You have gone, O Neferkare, with a tail."
995,(i)wa.n Ne. tm i.qm(A).w xpr zbT ,Neferkare has inherited the end of mourning and the beginning of laughter.
996, iA it(=i) Ne. ,"Greeting, O my father Neferkare!"
997, ink Hr ,I am Horus.
998, pH={f}<k> m qbH.t,{His} <Your> rear is Qebehut.
999, pH=k m qbH.t,Your rear is Qebehut.
1000, m(y) m Htp ir=k n wsir,Come in peace to Osiris!
1001, Tz Tw ,Raise yourself !
1002, i.n=f xr=k ,To you has he come.
1003,xr Ne. pn Hr gs=f ,Neferkare was fallen upon his side.
1004, Tz Tw ,Raise yourself !
1005, im(i)=k dbH HkA n(i) Ne. m-a Ne.,May you not seek the magic of Neferkare from Neferkare.
1006, wp=k sn wp-wA.wt is ,"May you open them, as Wepwawet."
1007,n Ne. is wr zA wr ,"For Neferkare is a great one, son of a great one."
1008,n Twt is wr zA-wr ,"For you are a great one, son of a great one."
1009, m-n=k ir(.t) Hr ,Take the eye of Horus!
1010, i.n Ne. im=f ,Neferkare has come with him.
1011,smn=f n Ne. nTr.wi=f (i) ,That he establish for Neferkare his two divine eyes.
1012,pry Ne. xr=f ,Let Neferkare ascend to him.
1013,nD Hr=k in zkr ,Your face has been touched by Sokar.
1014, i.gp Ne. m bik nTr(.i) ,Let Neferkare fly as a divine falcon.
1015, m(i)-k(w) nn Dd.n=sn ir Ne. Dd.n nTr.w ir Ne. ,"Behold this which they said concerning Neferkare, what the gods said concerning Neferkare."
1016, anx Ne. Reference: 3rd at §2054 ,Neferkare lives.
1017, iry Ne. s.t=f wsir is ,Let Neferkare make his place as Osiris.
1018, nbi n=k p.t ,The sky burns for you.
1019, xpr Ne. pn ,Neferkare is come to be.
1020,mrH.t p(w) n Ne. pn,It is the unguent for Neferkare.
1021,hA Ne. pw,O Neferkare.
1022, qAs=sn qAs n Ne. pn ,Binding the rope ladder for Neferkare.
1023,gm.n Ne. ir.t Hr ,Neferkare has found the eye of Horus.
1024,rs Ne. pn,Let Neferkare awaken.
1025,aHa,Arise!
1026, m-k wi (i)r(i) ink zA=k,Behold: thus am I your son.
1027, m-k ir(i) Ne. zA=k ,Behold: thus is Neferkare your son.
1028,dy zxn.wi p.t n Nt. pn,The two reed-boats of the sky are given to Neith.
1029, in i.rSrS.n=f im=k,Has he rejoiced over you?
1030,ink zA=k mrr Tw ,I am your son who loves you.
1031,1126 Ne. zA=k /// ///,Neferkare is your son /// ///.
1032, [wn] dSr.t ra wdi mAq.t,"The redness is [opened], O Re: a ladder is placed."
1033,Htm=k Tw m wrr. t=f wnm=k t ,May you provide yourself with his Wereret-crown; may you eat bread.
1034, i n=k imiw nww nmnm n=k Hnmm.t ,Those who are in Nu come to you: the sun-folk shake because of you.
1035, Ne. p(i) DHw. ti Hr(i)-tp nw.t ,Neferkare is Thoth who is over Nut.
1036, i.wn n Ne. wA.t Ne. ir wA.t n Ne. ,Open a way for Neferkare; make a way for Neferkare.
1037, in nw n P. [pn] ,Bring this to Pepi!
1038, [mAs.wt Ne.] ir ib(=i) ,[The knees of Neferkare] are against my heart.
1039, mAs.wt P. ir ib=f ,The knees of Pepi are against his heart.
1040, Tzy n=f P. pn in ,Let Pepi raise up that which is brought.
1041,HTT=s n=s Tw ir p.t,With her bearing you up.
1042, n ptx.n=s Ne. ir tA ,With her not setting Neferkare down.
1043,[h]Ay Ne. m wiA mr ra Hr idb.w n(i)w mr-nxA(i) ,"Let Neferkare [boa]rd the bark like Re, upon the banks of the shifting waterway."
1044,hA=k m wiA mr [ra Hr] idb.w n(i)w mr-nxAi ,"May you board the bark like Re, upon the banks of the shifting waterway."
1045,inp nDr=f a=k ,Anubis takes your hand.
1046,sAq n=k iwf=k ,Collect your flesh!
1047,Tz [Tw],Raise [yourself ]!
1048,iw.n Ne. xr=Tny ,To you has Neferkare returned.
1049,bA=k n=k xr=k ,Your Ba is yours with you.
1050,pA.n Nt.,Neith has flown.
1051,wsir Ne. pw pw nn,This one is Osiris Neferkare.
1052, wp.n n=k Hr rA=k ,Horus has opened your mouth for you.
1053, m Hm gAw m Hm aS.w,Do not lack; do not cry out!
1054, [Htm] n=k sw m a.wt=k,[ Provide] him with his limbs!
1055, xa.ti m wp(i).w /// [bA xnti] anx.w [is] ,"May you appear as Wepiu, /// [as the Ba foremost of ] the living."
1056, i.rs Tz Tw ,Awaken! Raise yourself !
1057, ia Tw ,Wash yourself !
1058, m k(w) nw ir.n(=i) n=k ,Behold this which I have done for you.
1059, rDi.n Tw gbb Szp.n Tw nw.t,Geb has given you: Nut has received you.
1060, Tz Tw r wr.w ir=k ,Raise yourself to those who are greater than you!
1061, zi.t(i) zi.t(i) ,Go! Go!
1062,im(i)=k xsf s(i) ,May you not stop her!
1063, Tz Tw Hr a.wt=k nbw.(i)t ,Raise qs.w=k biA.(i)w yourself upon your metal bones and your golden limbs!
1064,ir n=k wA.t n Ne. swA[=f Hr=s] ,Make a way for Neferkare [that he] may pass [upon it]!
1065,i.wn n Ne. THn zn n Ne. itr.t,Opened for Neferkare is the naos: spread open for Neferkare is the chapel row.
1066,sia=f Nt. n nTr aA ,He makes Neith rise up to the great god.
1067, Reference: 2nd at §2262d ,"Greeting, O Neferkare!"
1068, Nt. pw wr pr m wp.t DHw.ti ,Neith is the great one who went forth from the brow of Thoth.
1069, Nt. pw zA tm sn-nw n(i) nfr-mAa.t ,"Neith is the son of Atum, the companion of Neferma'at."
1070, i.n Nt. xr=Tn nTr.w ipw xtm<-nw> xww wr aHa.w m [Htr.t] tA.wi xtm-nw Sw ,"To you has Neith come, O gods, (as) the third, the one who protects the great one who stands at the [riverside] of the two lands, the third of Shu."
1071,n fd.n Nt. qA m s.t=f,Neith does not remove the high one from his place.
1072, [hA.n] Nt. n mA(A) tn<m>{s}.w 5–nw=Tn ,"Neith [has descended] only to see the one who is go<ne> astray, (she being) your fifth."
1073, [in] Nt. m 5–nw=Tn,Neith is your fifth.
1074, xm.n Nt. S<Ab> {q} n(i) nb xmnw ,Neith does not know the cro<okedness> of the lord of Hermopolis.
1075, m-n=k ir.t Hr wa.t mA=k im=s ,"Take the sole eye of Horus, that you may see by it!"
1076, sTz=s sanx=s HA.t=k ,She causes to be raised up and makes your brow live.
1077, d(=i) n=k Hwn.ti Hm imit ir.ti Hr,Let me give you the two pupils which are the eyes of Horus.
1078, wnn=sn(i) n=k tp=k ,They will even be upon you for you.
1079,m-n=k ir(.t) Hr imn.t.n stS ,Take the eye of Horus which Seth hid!
1080,i.spD s(i),Make it stretched!
1081, m-n=k ir(.t) Hr Dd.t.n=k ir=s ,Take the eye of Horus concerning which you said!
1082,m-n=k ir(.t) Hr wDA.t,Take the whole eye of Horus!
1083,m-k nw ir.n(=i) n=k,See this which I did for you!
1084,pr P. pn pr ///,"If Pepi ascends, /// ascends."
1085, pri=i pr ///,If I ascend ///.
1086, /// . . . /// i.zi Xr Ne. pn ,/// . . . /// go under Neferkare.
1087, in dwAw S[ms] wi ra nb ,It is Duau who fol[lows] me every day.
1088,in dwA Sms NN pn ra Sms NN pn ,It is Duau who follows NN and Re who follows NN.
1089, wab NN Tn n kA=s n kA=s ,"NN is pure for her Ka, for her Ka."
1090,id.t nTr r iwf.w=T,With the censing of the god at your flesh.
1091,id.t nTr r iwf.w=f,With the censing of the god at his flesh.
1092, DbA.n=i Tw m ir.t-Hr imit tAi.t DbA.t.n=f it=f im=s DbA.t.n=f wsir im=s ,"I have adorned you with the eye of Horus which is Tait, with which he adorned his father, with which he adorned Osiris."
